entity,year,solarElectricity,electricityFromSolarTwh,solarCapacity,solarEquivalentPrimaryEnergy,windEquivalentPrimaryEnergy,windCapacity,hydroEquivalentPrimaryEnergy,electricityFromWindTwh,hydroElectricity,windElectricity,geoBiomassOtherTwh,solarGenerationTwh,windGenerationTwh,hydroGenerationTwh,renewablesEquivalentPrimaryEnergy,biofuelsProductionTwhTotal,geothermalCapacity,electricityFromHydroTwh,otherRenewablesIncludingBioenergyTwh,renewablesElectricity
Colombia,1965,0.0,0.0,0.0,0.0,0.0,0.0,11.788209,0.0,0.0,0.0,0.0,0.0,0.0,3.5439494,11.788209,0.0,0.0,3.5439494,0.0,0.0
Colombia,1966,0.0,0.0,0.0,0.0,0.0,0.0,12.017394,0.0,0.0,0.0,0.0,0.0,0.0,3.9372194,12.017394,0.0,0.0,3.9372194,0.0,0.0
Colombia,1967,0.0,0.0,0.0,0.0,0.0,0.0,12.580107,0.0,0.0,0.0,0.0,0.0,0.0,4.3892536,12.580107,0.0,0.0,4.3892536,0.0,0.0
Colombia,1968,0.0,0.0,0.0,0.0,0.0,0.0,13.300462,0.0,0.0,0.0,0.0,0.0,0.0,4.8910117,13.300462,0.0,0.0,4.8910117,0.0,0.0
Colombia,1969,0.0,0.0,0.0,0.0,0.0,0.0,14.526139,0.0,0.0,0.0,0.0,0.0,0.0,5.4379735,14.526139,0.0,0.0,5.4379735,0.0,0.0
Colombia,1970,0.0,0.0,0.0,0.0,0.0,0.0,14.817516,0.0,0.0,0.0,0.0,0.0,0.0,6.05274,14.817516,0.0,0.0,6.05274,0.0,0.0
Colombia,1971,0.0,0.0,0.0,0.0,0.0,0.0,15.987799,0.0,0.0,0.0,0.0,0.0,0.0,6.4234085,15.987799,0.0,0.0,6.4234085,0.0,0.0
Colombia,1972,0.0,0.0,0.0,0.0,0.0,0.0,15.767954,0.0,0.0,0.0,0.0,0.0,0.0,7.115021,15.767954,0.0,0.0,7.115021,0.0,0.0
Colombia,1973,0.0,0.0,0.0,0.0,0.0,0.0,17.170427,0.0,0.0,0.0,0.0,0.0,0.0,7.7433486,17.170427,0.0,0.0,7.7433486,0.0,0.0
Colombia,1974,0.0,0.0,0.0,0.0,0.0,0.0,17.39551,0.0,0.0,0.0,0.0,0.0,0.0,8.7920685,17.39551,0.0,0.0,8.7920685,0.0,0.0
